PAPER_NAME,AUTHOR,DATE
No. 1,HAMILTON,10/27/1787
No. 2,JAY,10/31/1787
No. 3,JAY,11/3/1787
No. 4,JAY,11/7/1787
No. 5,JAY,11/10/1787
No. 6,HAMILTON,11/14/1787
No. 7,HAMILTON,11/15/1787
No. 8,HAMILTON,11/20/1787
No. 9,HAMILTON,11/21/1787
No. 10,MADISON,11/22/1787
No. 11,HAMILTON,11/24/1787
No. 12,HAMILTON,11/27/1787
No. 13,HAMILTON,11/28/1787
No. 14,MADISON,11/30/1787
No. 15,HAMILTON,12/1/1787
No. 16,HAMILTON,12/4/1787
No. 17,HAMILTON,12/5/1787
No. 18,HAMILTON AND MADISON,12/7/1787
No. 19,HAMILTON AND MADISON,12/8/1787
No. 20,HAMILTON AND MADISON,12/11/1787
No. 21,HAMILTON,12/12/1787
No. 22,HAMILTON,12/14/1787
No. 23,HAMILTON,12/18/1787
No. 24,HAMILTON,12/19/1787
No. 25,HAMILTON,12/21/1787
No. 26,HAMILTON,12/12/1787
No. 27,HAMILTON,12/25/1787
No. 28,HAMILTON,12/26/1787
No. 29,HAMILTON,1/9/1788
No. 30,HAMILTON,12/28/1787
No. 31,HAMILTON,1/1/1788
No. 32,HAMILTON,1/2/1788
No. 33,HAMILTON,1/2/1788
No. 34,HAMILTON,1/5/1788
No. 35,HAMILTON,1/5/1788
No. 36,HAMILTON,1/8/1788
No. 37,MADISON,1/11/1788
No. 38,MADISON,1/12/1788
No. 39,MADISON,1/18/1788
No. 40,MADISON,1/18/1788
No. 41,MADISON,1/19/1788
No. 42,MADISON,1/22/1788
No. 43,MADISON,1/23/1788
No. 44,MADISON,1/25/1788
No. 45,MADISON,1/26/1788
No. 46,MADISON,1/29/1788
No. 47,MADISON,1/30/1788
No. 48,MADISON,2/1/1788
No. 49,HAMILTON OR MADISON,2/2/1788
No. 50,HAMILTON OR MADISON,2/5/1788
No. 51,HAMILTON OR MADISON,2/6/1788
No. 52,HAMILTON OR MADISON,2/8/1788
No. 53,HAMILTON OR MADISON,2/9/1788
No. 54,HAMILTON OR MADISON,2/12/1788
No. 55,HAMILTON OR MADISON,2/13/1788
No. 56,HAMILTON OR MADISON,2/16/1788
No. 57,HAMILTON OR MADISON,2/19/1788
No. 58,MADISON,2/20/1788
No. 59,HAMILTON,2/22/1788
No. 60,HAMILTON,2/23/1788
No. 61,HAMILTON,2/26/1788
No. 62,HAMILTON OR MADISON,2/27/1788
No. 63,HAMILTON OR MADISON,3/1/1788
No. 64,JAY,3/5/1788
No. 65,HAMILTON,3/7/1788
No. 66,HAMILTON,3/8/1788
No. 67,HAMILTON,3/11/1788
No. 68,HAMILTON,3/12/1788
No. 69,HAMILTON,3/14/1788
No. 70,HAMILTON,3/15/1788
No. 70-2,HAMILTON,3/15/1788
No. 71,HAMILTON,3/18/1788
No. 72,HAMILTON,3/19/1788
No. 73,HAMILTON,3/21/1788
No. 74,HAMILTON,3/25/1788
No. 75,HAMILTON,3/26/1788
No. 76,HAMILTON,4/1/1788
No. 77,HAMILTON,4/2/1788
No. 78,HAMILTON,6/14/1788
No. 79,HAMILTON,6/18/1788
No. 80,HAMILTON,6/21/1788
No. 81,HAMILTON,6/25/1788
No. 82,HAMILTON,7/2/1788
No. 83,HAMILTON,7/5/1788
No. 84,HAMILTON,7/16/1788
No. 85,HAMILTON,8/13/1788
